групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.1;Кременецький район;Шумськ;Дубенська;всі
1.1;Кременецький район;Шумськ;Дубенський шлях;всі
1.1;Кременецький район;Шумськ;Вілійська;всі
1.1;Кременецький район;Шумськ;Свободи;всі
1.1;Кременецький район;Шумськ;Чиранка;всі
1.1;Кременецький район;Шумськ;Суразька;всі
1.1;Кременецький район;Шумськ;Підгірна;всі
1.1;Кременецький район;Шумськ;Стадіонна;всі
1.1;Кременецький район;Шумськ;Набережна;всі
1.1;Кременецький район;Шумськ;Дружби;всі
1.1;Кременецький район;Шумськ;Ювілейна;всі
1.1;Кременецький район;Шумськ;Хмельницького;всі
1.1;Кременецький район;Шумськ;Озерна;всі
1.1;Кременецький район;Шумськ;Котляревського;всі
1.1;Кременецький район;Шумськ;Українська;всі
1.1;Кременецький район;Шумськ;площа Ринок;всі
1.1;Кременецький район;Шумськ;І.Франка;всі
1.1;Кременецький район;Шумськ;Енергетична;всі
1.1;Кременецький район;Шумськ;Миру;всі
1.1;Кременецький район;Шумськ;Народицька;всі
1.1;Кременецький район;Шумськ;Уласа Самчука;всі
1.1;Кременецький район;Шумськ;Промислова;всі
1.1;Кременецький район;Шумськ;князя Островського;всі
1.1;Кременецький район;Шумськ;Шевченка;всі
1.1;Кременецький район;Шумськ;Сонячна;всі
1.1;Кременецький район;Шумськ;840-річчя Шумська;всі
1.1;Кременецький район;Шумськ;Заводська;всі
1.1;Кременецький район;Шумськ;Волинська;всі
1.1;Кременецький район;Шумськ;Проектна;всі
1.1;Кременецький район;Шумськ;Круголецька;всі
1.1;Кременецький район;Шумськ;провулок Волинський;всі
1.1;Кременецький район;Шумськ;майдан Незалежності;всі
1.1;Кременецький район;Шумськ;Данилевича;всі
1.1;Кременецький район;Вілія;всі;всі
1.1;Кременецький район;Тетильківці;всі;всі
1.1;Кременецький район;Новосілки;всі;всі
1.1;Кременецький район;Людвищі;всі;всі
1.1;Кременецький район;Білий Комин;всі;всі
1.1;Кременецький район;Вілія;"ТОВ ""Агаріс Міко Україна""";
1.1;Кременецький район;Башківці;всі;всі
1.1;Кременецький район;Тилявка;всі;всі
1.1;Кременецький район;Одерадівка;всі;всі
1.1;Кременецький район;Жолобки;всі;всі
1.1;Кременецький район;Угорськ;всі;всі
1.1;Кременецький район;Забара;всі;всі
1.1;Кременецький район;Діброва;всі;всі
1.1;Кременецький район;Довжок;всі;всі
1.1;Кременецький район;Німеччина;всі;всі
1.1;Кременецький район;Новостав;всі;всі
1.1;Кременецький район;Биківці;всі;всі
1.1;Кременецький район;Потуторів;всі;всі
1.1;Кременецький район;Кордишів;всі;всі
1.1;Кременецький район;Мирове;всі;всі
1.1;Кременецький район;Шумбар;всі;всі
1.1;Кременецький район;Цеценівка;всі;всі
1.1;Кременецький район;Бірки;всі;всі
1.1;Кременецький район;Соснівка;всі;всі
1.1;Кременецький район;Круголець;всі;всі
1.1;Кременецький район;Михайлівка;всі;всі
1.1;Кременецький район;Онишківці;всі;всі
1.1;Кременецький район;Боложівка;всі;всі
1.1;Кременецький район;Лози;всі;всі
1.1;Кременецький район;Сураж;всі;всі
1.1;Кременецький район;Малинів;всі;всі
1.1;Кременецький район;Ходаки;всі;всі
1.1;Кременецький район;Рохманів;всі;всі
1.1;Кременецький район;Малі Садки;всі;всі
1.1;Кременецький район;Васьківці;всі;всі
1.1;Кременецький район;Залужжя;всі;всі
1.1;Кременецький район;Кутянка;всі;всі
1.1;Кременецький район;Руська Гута;всі;всі
1.1;Кременецький район;Андрушівка;всі;всі
1.1;Кременецький район;Переморівка;всі;всі
1.1;Кременецький район;Зелений Дуб;всі;всі
1.1;Кременецький район;Кути;всі;всі
1.1;Кременецький район;Літовищі;всі;всі
1.1;Кременецький район;Іловиця;всі;всі
1.1;Кременецький район;В.Іловиця;всі;всі
1.1;Кременецький район;Антонівці;всі;всі
1.1;Кременецький район;Стіжок;всі;всі
1.1;Кременецький район;Шумський ТБЗ;всі;всі
1.1;Кременецький район;Базельки;всі;всі
1.1;Кременецький район;Москалівка;всі;всі
1.1;Кременецький район;Діброва;всі;всі
1.1;Кременецький район;Гутисько;всі;всі
1.1;Кременецький район;Лішники;всі;всі
1.1;Кременецький район;В. Дедеркали;всі;всі
1.1;Кременецький район;Садки;всі;всі
1.1;Кременецький район;Вовківці;всі;всі
1.1;Кременецький район;Мізюринці;всі;всі
1.1;Кременецький район;Радошівка;всі;всі
1.1;Кременецький район;Обори;всі;всі
1.1;Кременецький район;Шкроботівка;всі;всі
1.1;Кременецький район;Дедеркали;всі;всі
1.1;Кременецький район;Темногайці;всі;всі
1.1;Кременецький район;В. Загайці;всі;всі
1.1;Кременецький район;Загайці;всі;всі
1.1;Кременецький район;Шумбар;всі;всі
1.1;Кременецький район;х Тури;всі;всі
1.1;Кременецький район;Піщатинці;всі;всі
1.1;Кременецький район;Матвіївці;всі;всі
1.1;Кременецький район;Гриньківці;всі;всі
1.1;Кременецький район;Підгайці;всі;всі
1.1;Кременецький район;Темногайці;всі;всі
1.1;Кременецький район;Кудлаївка;всі;всі
1.1;Кременецький район;Бриків;всі;всі
1.1;Кременецький район;Кононвиця;всі;всі
1.1;Кременецький район;Обич;всі;всі
1.1;Кременецький район;Хмелище;всі;всі
1.1;Кременецький район;Чотирьохполівка;всі;всі
1.1;Чортківський район;Чортків;Ольжича;всі
1.1;Чортківський район;Чортків;Січинського;всі
1.1;Чортківський район;Чортків;Бучацька;всі
1.1;Чортківський район;Чортків;Бучацька-бічна;всі
1.1;Чортківський район;Чортків;Шеремети;всі
1.1;Чортківський район;Чортків;Гірська;всі
1.1;Чортківський район;Чортків;Копичинецька;всі
1.1;Чортківський район;Чортків;Підлісна;всі
1.1;Чортківський район;Чортків;Грушевського;всі
1.1;Чортківський район;Чортків;Хмельницького;всі
1.1;Чортківський район;Чортків;Молодіжна;всі
1.1;Чортківський район;Чортків;Шептицького;всі
1.1;Чортківський район;Чортків;Незалежності;всі
1.1;Чортківський район;Чортків;Котляревського;всі
1.1;Чортківський район;Чортків;Полуботка;всі
1.1;Чортківський район;Чортків;Сінгаєвського;всі
1.1;Чортківський район;Чортків;Орлика;всі
1.1;Чортківський район;Чортків;Обїзна;всі
1.1;Чортківський район;Чортків;Довженка;всі
1.1;Чортківський район;Чортків;Леонтовича;всі
1.1;Чортківський район;Чортків;Тарнавського;всі
1.1;Чортківський район;Чортків;Героїв Маріуполя;всі
1.1;Чортківський район;Чортків;Корольова;всі
1.1;Чортківський район;Чортків;Стефаника;всі
1.1;Чортківський район;Чортків;Сірка;всі
1.1;Чортківський район;Чортків;Байди-Вишневецького;всі
1.1;Чортківський район;Чортків;Сагайдачного;всі
1.1;Чортківський район;Чортків;Нова;всі
1.1;Чортківський район;Чортків;Мельничука;всі
1.1;Чортківський район;Чортків;В.Великого;всі
1.1;Чортківський район;Чортків;Кадуб;всі
